56988.1937,56988.4431,2.452E-11,5.149E-12,1.298,0.273,1,2.63,1000000,43.79,
56989.191,56989.4403,1.955E-11,5.704E-12,1.035,0.302,0.852,2.63,1000000,18.42,
56990.1882,56990.4375,2.434E-11,6.626E-12,1.288,0.351,0.843,2.63,1000000,19.14,
56991.1917,56991.4347,2.623E-11,6.088E-12,1.388,0.322,0.846,2.63,1000000,30.21,
56992.1826,56992.4319,1.94E-11,5.083E-12,1.027,0.269,0.959,2.63,1000000,28.94,
56993.1799,56993.4292,2.393E-11,5.537E-12,1.267,0.293,1,2.63,1000000,31.31,
56994.1771,56994.4264,1.269E-11,4.717E-12,0.672,0.25,1,2.63,1000000,11.27,
56995.1792,56995.4236,1.919E-11,5.417E-12,1.016,0.287,0.998,2.63,1000000,18.32,
56996.1715,56996.4208,1.559E-11,4.876E-12,0.825,0.258,1,2.63,1000000,18,
56997.1687,56997.4181,3.726E-12,5.015E-12,0.197,0.265,1,2.63,1000000,,0.6
56998.166,56998.4153,1.94E-11,5.374E-12,1.027,0.284,1,2.63,1000000,20.9,
56999.1632,56999.4125,1.728E-11,5.844E-12,0.915,0.309,0.996,2.63,1000000,11.36,
57000.1604,57000.4097,1.712E-11,4.789E-12,0.906,0.254,0.993,2.63,1000000,24.02,
57001.1583,57001.4076,1.851E-11,5.233E-12,0.98,0.277,1,2.63,1000000,20.91,
57002.1556,57002.4049,1.396E-11,5.146E-12,0.739,0.272,1,2.63,1000000,10.03,
57003.1528,57003.4021,2.125E-11,5.515E-12,1.125,0.292,1,2.63,1000000,29.33,
57004.15,57004.3993,1.69E-11,5.15E-12,0.894,0.273,1,2.63,1000000,20.14,
57005.1472,57005.3965,1.604E-11,5.242E-12,0.849,0.278,1,2.63,1000000,14.91,
57006.1444,57006.3938,1.763E-11,5.138E-12,0.933,0.272,1,2.63,1000000,21.22,
57007.1417,57007.391,1.172E-11,4.68E-12,0.621,0.248,1,2.63,1000000,12.22,
57008.1389,57008.3882,1.61E-11,4.873E-12,0.852,0.258,1,2.63,1000000,17.47,
57009.1361,57009.3854,1.502E-11,5.382E-12,0.795,0.285,1,2.63,1000000,11.44,
57010.1333,57010.3826,1.662E-11,5.047E-12,0.88,0.267,1,2.63,1000000,18.42,
57011.1306,57011.3799,2.54E-11,5.588E-12,1.345,0.296,1,2.63,1000000,36.44,
57012.1278,57012.3771,2.277E-11,5.783E-12,1.206,0.306,0.917,2.63,1000000,28.74,
57013.125,57013.3743,2.164E-11,5.071E-12,1.146,0.268,1,2.63,1000000,41.74,
57014.1222,57014.3715,1.533E-11,4.965E-12,0.812,0.263,0.975,2.63,1000000,16.16,
